Username,body,nonfl,money,humans,sad,past,Quant,anger,home,sexual,NEGEMO,inhib,family,space,filler,third_person,anx,negemo,number_words,swear,health,Numb,time,Affect,cause,friend,relig,number_classified_words,social,leisure,sensory,first_person,second_person,present,cognitive,POSEMO,work,ingest,motion,future,achieve,posemo,Openness,Extraversion,Neuroticism,Agreeableness,Conscientiousness
angmazzella,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.672265662708756,0.0,0.0,0.0,0.0,0.0,0.0,4.672265662708756,10359.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.599478714161599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.927213051452843,0.0,0.0,0.0,0.0,0.0,5.927213051452843,0.004367420909090918,0.031101735454545486,-0.0030794645454545436,-0.0003143100000000006,0.0025546218181818174
cuntney_,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.8281025967819025,0.0,0.0,0.0,0.0,0.0,0.0,6.8281025967819025,31385.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.314322128405289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.486219531623387,0.0,0.0,0.0,0.0,0.0,4.486219531623387,0.023803882225953525,0.008204719117294325,-0.01155291388822262,-0.01645525689613815,-0.008819876469177267
devankathryn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.230687401854009,0.0,0.0,0.0,0.0,0.0,0.0,6.230687401854009,39482.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.067879033483612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8371916316296035,0.0,0.0,0.0,0.0,0.0,3.8371916316296035,0.030872198865038388,0.01330149148778685,-0.009428778435726618,-0.019269389834690346,-0.007941210954848246
LillianHopkins_,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4099074578116495,0.0,0.0,0.0,0.0,0.0,0.0,6.4099074578116495,7348.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.867174741426238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.457267283614589,0.0,0.0,0.0,0.0,0.0,5.457267283614589,0.0374287472118959,0.011770389095415116,-0.009365532837670382,-0.009021786864931849,-0.0039221239157373
ToriRae_,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.119203080529047,0.0,0.0,0.0,0.0,0.0,0.0,6.119203080529047,23892.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.907416708521682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.788213627992634,0.0,0.0,0.0,0.0,0.0,4.788213627992634,0.023717561403508627,0.021359806627680434,-0.0038807177387914105,-0.014119146198830406,-0.0050997976608187145
ByronHearst,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.198887343532684,0.0,0.0,0.0,0.0,0.0,0.0,3.198887343532684,5033.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.523743294257898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.324855950725214,0.0,0.0,0.0,0.0,0.0,5.324855950725214,-0.01348924291497974,0.014733285425101203,-0.00028950202429149765,-0.004259036437246963,0.0016841518218623482
Devkelly2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.694590139367601,0.0,0.0,0.0,0.0,0.0,0.0,5.694590139367601,20019.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.43104051151406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.736450372146461,0.0,0.0,0.0,0.0,0.0,3.736450372146461,0.01410129420505198,0.015231447994056464,-0.005183177563150061,-0.016351622213967302,-0.006474561664190182
sortino172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.322195704057279,0.0,0.0,0.0,0.0,0.0,0.0,5.322195704057279,8380.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.928400954653938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.606205250596659,0.0,0.0,0.0,0.0,0.0,4.606205250596659,0.022471134963768097,0.011857085144927539,-0.006850957427536236,-0.008871392210144921,-0.003663703804347827
JClancy_YBG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.52661687589385,0.0,0.0,0.0,0.0,0.0,0.0,2.52661687589385,18879.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.355156523120928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.828539647227078,0.0,0.0,0.0,0.0,0.0,2.828539647227078,0.018249882878411904,0.006946730024813899,-0.00015456129032258043,-0.0044866967741935505,-0.0009568208436724562
ColinBrunner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.994921983196381,0.0,0.0,0.0,0.0,0.0,0.0,4.994921983196381,10831.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.844981996122241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.850060012925861,0.0,0.0,0.0,0.0,0.0,3.850060012925861,0.014014337470449166,0.007739476359338059,-0.008116044326241134,-0.017153731678487005,-0.008390334515366426
joe_capuano123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.777433556171531,0.0,0.0,0.0,0.0,0.0,0.0,4.777433556171531,6133.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.696233490950595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.918799934779064,0.0,0.0,0.0,0.0,0.0,5.918799934779064,0.013019021516393442,0.01134269467213115,-0.0018426854508196704,-0.006605405737704928,-0.002251933401639343
DirtyMike73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7196083763937993,0.0,0.0,0.0,0.0,0.0,0.0,2.7196083763937993,3677.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.663040522164808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.943432145771009,0.0,0.0,0.0,0.0,0.0,3.943432145771009,-0.005197608988764044,0.012055874157303373,-0.0013942044943820225,-0.01194984719101123,-0.0041655797752808985
TD_Kirton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.242598172860764,0.0,0.0,0.0,0.0,0.0,0.0,4.242598172860764,20907.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.834696513129574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5920983402688096,0.0,0.0,0.0,0.0,0.0,3.5920983402688096,0.021495246234067202,0.019195367902665142,-0.0012827074159907298,-0.004070487253765935,0.0032782132097334852
MrTrungie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.813229944476355,0.0,0.0,0.0,0.0,0.0,0.0,5.813229944476355,41784.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.312176909821941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4989469653455867,0.0,0.0,0.0,0.0,0.0,3.4989469653455867,0.021519552142110873,0.007521944618599804,-0.008001620689655138,-0.018547909299895523,-0.008635941483803594
alyssaaamarie__,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9722243955872,0.0,0.0,0.0,0.0,0.0,0.0,4.9722243955872,25562.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.589938189500039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.61771379391284,0.0,0.0,0.0,0.0,0.0,5.61771379391284,0.024613953006219776,0.02496604975812026,-0.00512586765722183,-0.0016252764340013892,0.000759442639944714
