Username,body,nonfl,money,humans,sad,past,Quant,anger,home,sexual,NEGEMO,inhib,family,space,filler,third_person,anx,negemo,number_words,swear,health,Numb,time,Affect,cause,friend,relig,number_classified_words,social,leisure,sensory,first_person,second_person,present,cognitive,POSEMO,work,ingest,motion,future,achieve,posemo,Openness,Extraversion,Neuroticism,Agreeableness,Conscientiousness
J_stowell00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6053130929791273,0.0,0.0,0.0,0.0,0.0,0.0,3.6053130929791273,527.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.62618595825427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.020872865275142,0.0,0.0,0.0,0.0,0.0,7.020872865275142,0.018603253164556962,0.015232037974683543,0.002372860759493671,0.005071822784810126,0.0041624430379746825
JoeyParmenter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.707129439126934,0.0,0.0,0.0,0.0,0.0,0.0,5.707129439126934,22358.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.000894534394847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.293765095267913,0.0,0.0,0.0,0.0,0.0,4.293765095267913,0.027008573710482552,0.006618123128119803,-0.008791281198003324,-0.007956808985024964,-0.00565988885191347
nataliee_sayss,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.430016863406408,0.0,0.0,0.0,0.0,0.0,0.0,5.430016863406408,2965.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.387858347386173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.957841483979764,0.0,0.0,0.0,0.0,0.0,4.957841483979764,0.04870325199999999,0.029586472000000006,-0.015783403999999997,-0.008772687999999999,-0.0050605879999999995
dschultz51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.872712373668397,0.0,0.0,0.0,0.0,0.0,0.0,5.872712373668397,7322.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.174815624146408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3021032504780115,0.0,0.0,0.0,0.0,0.0,4.3021032504780115,0.020555438150289002,0.008492476300578037,-0.015332883236994214,-0.017937479768786135,-0.006498124855491333
bakershorty1022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.580998563218391,0.0,0.0,0.0,0.0,0.0,0.0,5.580998563218391,133632.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.85841714559387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.277418582375479,0.0,0.0,0.0,0.0,0.0,4.277418582375479,0.025772760878900493,0.012741012811336886,-0.005786515531062128,-0.006798164972802697,-0.002071891210993408
AlyssaColombai,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.616554054054054,0.0,0.0,0.0,0.0,0.0,0.0,5.616554054054054,2368.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.050675675675675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.434121621621622,0.0,0.0,0.0,0.0,0.0,4.434121621621622,0.023212663043478278,0.00952463043478261,-0.011030862318840587,-0.009823079710144922,-0.003727539855072465
Rs668000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.10461505514509,0.0,0.0,0.0,0.0,0.0,0.0,7.10461505514509,93390.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.841631866366848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7370168112217583,0.0,0.0,0.0,0.0,0.0,3.7370168112217583,0.024699099004822124,0.014501157279162803,-0.015347420642249074,-0.023977818200471835,-0.014037344208474358
maddiee424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9877622377622375,0.0,0.0,0.0,0.0,0.0,0.0,5.9877622377622375,2288.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.314685314685315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.326923076923077,0.0,0.0,0.0,0.0,0.0,4.326923076923077,-0.00720916996047431,0.03150005928853753,-0.006595837944664032,4.894861660079021e-05,-0.00029818577075098806
KikiBeadles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5288310381688985,0.0,0.0,0.0,0.0,0.0,0.0,5.5288310381688985,63612.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.911651889580583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.382820851411683,0.0,0.0,0.0,0.0,0.0,4.382820851411683,0.05018003830288732,0.011755565900608923,-0.010596397957179322,-0.010358959143586723,-0.004089450991946569
Sweezy_F_Baby,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.248366013071895,0.0,0.0,0.0,0.0,0.0,0.0,4.248366013071895,35190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.002557544757034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.754191531685138,0.0,0.0,0.0,0.0,0.0,4.754191531685138,0.0426975564971753,0.012771851089588372,-0.0030071182405165464,-0.002592552865213884,1.2984261501210691e-05
